DateTime,AddedIPs,RemovedIPs
1543522477,70,99
1543524181,72,107
1543526063,85,78
1543527755,93,54
1543528586,56,35
1543529691,38,71
1543531290,92,61
1543533291,107,73
1543534956,85,79
1543536334,100,102
1543537526,60,17
1543538733,68,80
1543540231,67,109
1543541321,57,23
1543542155,52,144
1543543007,30,45
1543544142,78,95
1543545339,77,80
1543546592,57,23
1543547686,43,71
1543548937,51,83
1543550736,105,107
1543552536,69,87
1543554868,80,98
1543555800,48,68
1543556560,39,19
1543557937,46,97
1543559320,72,14
1543560802,59,84
1543562074,92,72
1543563747,84,130
1543564588,39,47
1543565740,78,66
1543566938,64,90
1543568059,92,22
1543569294,57,82
1543570106,51,20
1543571762,79,89
1543573717,115,126
1543575395,87,85
1543576542,46,83
1543577315,50,16
1543578156,45,90
1543578987,33,24
1543580151,45,64
1543581650,62,71
1543583685,79,97
1543584945,76,87
1543587284,111,107
1543588107,44,12
1543588949,42,63
1543589806,30,49
1543590943,79,90
1543591722,38,15
1543592865,58,137
1543593971,99,76
1543595448,90,106
1543596938,74,49
1543598106,30,89
1543599755,113,87
1543601131,87,110
1543602324,67,29
1543603573,46,150
1543605272,118,66
1543606956,90,150
1543607799,44,33
1543608873,54,49
1543610546,93,85
1543611385,69,46
1543613320,66,96
1543614923,69,114
1543616066,53,65
1543616903,46,18
1543619666,141,115
1543620856,61,73
1543622147,42,54
1543624105,134,67
1543625812,90,177
1543627706,74,118
1543629386,73,90
1543630471,29,58
1543631305,63,22
1543632148,45,66
1543634078,59,73
1543634906,39,9
1543635746,61,59
1543636987,70,93
1543638327,91,34
1543639849,104,125
1543641042,42,107
1543642113,44,31
1543643807,58,145
1543644874,58,56
1543645707,43,22
1543646596,60,61
1543647390,50,8
1543648475,43,98
1543650147,83,111
1543652070,70,101
1543652908,88,13
1543655432,153,180
1543656617,78,81
1543657967,98,23
1543659327,87,104
1543660527,74,67
1543660956,33,7
1543662861,98,96
1543663702,53,15
1543664542,30,105
1543665382,97,36
1543666537,54,56
1543668039,88,76
1543668991,67,21
1543670083,59,64
1543671743,90,119
1543672585,37,52
1543673663,55,93
1543675344,84,95
1543676191,54,62
1543677267,60,91
1543680342,135,163
1543680863,34,7
1543682125,56,88
1543684472,142,265
1543685739,122,281
1543686991,77,44
1543688132,91,73
1543689967,92,165
1543691436,56,77
1543693238,104,97
1543694185,50,40
1543695263,68,62
1543696952,74,97
1543698137,60,99
1543699855,75,48
1543701930,145,141
1543702463,19,12
1543704144,76,83
1543704983,59,56
1543706131,94,69
1543707744,383,108
1543709143,61,93
1543710325,98,28
1543711359,31,73
1543712185,38,29
1543713318,45,59
1543714105,25,19
1543715425,57,118
1543716865,62,58
1543718441,125,57
1543720238,102,103
1543720483,23,3
1543722037,74,114
1543724086,133,81
1543725748,88,91
1543726587,55,44
1543727688,59,50
1543729350,96,88
1543731276,138,103
1543732534,77,97
1543733738,68,49
1543734867,58,61
1543735706,54,20
1543737333,79,125
1543738464,57,104
1543739817,72,64
1543740961,73,53
1543742073,65,58
1543742905,40,5
1543744537,74,100
1543745666,70,48
1543746514,73,5
1543748184,90,70
1543749268,26,46
1543750533,71,62
1543752326,112,61
1543752873,24,4
1543754427,114,100
1543756230,92,93
1543758151,82,56
1543760063,85,61
1543760921,50,5
1543761746,54,66
1543763427,71,92
1543765233,117,101
1543767281,114,79
1543768116,45,7
1543769318,73,148
1543770476,164,72
1543772544,117,79
1543774464,125,95
1543775304,33,10
1543776882,79,92
1543778913,94,105
1543780617,83,88
1543781731,80,125
1543782520,48,27
1543784379,145,122
1543786104,106,45
1543788147,95,154
1543789713,72,27
1543790558,62,64
1543792474,96,69
1543794146,69,119
1543794984,43,14
1543796134,53,97
1543797747,64,74
1543798584,47,34
1543799758,63,41
1543800948,54,74
1543802196,58,50
1543803331,85,42
1543804540,95,91
1543806868,125,94
1543808708,108,131
1543809403,52,25
1543810533,76,57
1543812925,128,99
1543814066,63,55
1543815768,100,90
1543816587,26,16
1543817755,65,88
1543819370,112,97
1543821066,117,68
1543822968,80,141
1543823800,46,37
1543824939,60,103
1543826047,69,113
1543827356,59,57
1543828540,66,84
1543830137,68,105
1543831017,53,53
1543832146,56,78
1543832927,35,3
1543834791,80,189
1543836520,75,7
1543837345,31,70
1543838256,33,22
1543839443,46,55
1543840836,69,94
1543842641,101,85
1543844576,159,105
1543845935,100,95
1543847276,90,12
1543848986,117,113
1543850066,79,55
1543851766,102,77
1543853666,162,135
1543855228,80,112
1543857264,99,126
1543858526,122,118
1543860168,111,75
1543861524,112,17
1543862739,60,97
1543863392,54,9
1543864542,63,89
1543866145,109,103
1543868069,87,70
1543868910,40,7
1543869743,27,53
1543870581,26,46
1543871685,60,64
1543872929,68,47
1543873353,11,4
1543874184,36,3
1543875271,51,89
1543876114,20,3
1543877522,70,77
1543878640,40,100
1543879707,37,4
1543881327,57,104
1543882463,45,42
1543883309,33,4
1543885838,86,95
1543887746,76,103
1543888586,27,30
1543889739,26,57
1543890883,61,89
1543892079,53,4
1543893332,44,83
1543894949,90,87
1543895788,26,28
1543896939,47,55
1543898138,51,57
1543899337,60,29
1543900491,36,85
1543902147,51,91
1543903544,36,70
1543905746,90,64
1543907440,84,67
1543909357,83,62
1543911277,79,77
1543912121,23,0
1543914479,106,142
1543915706,49,2
1543916551,34,100
1543917403,20,1
1543919306,62,98
1543920164,40,67
1543922074,60,125
1543923243,37,133
1543924487,53,32
1543925746,57,70
1543926515,31,6
1543927612,46,87
1543929039,61,50
1543929270,14,1
1543930627,55,73
1543931791,48,45
1543932876,99,49
1543934599,108,88
1543935411,36,36
1543936543,52,57
1543937735,53,80
1543938988,107,1
1543940134,43,142
1543941340,34,146
1543942541,51,6
1543943676,58,99
1543944929,66,92
1543946130,101,36
1543947342,59,81
1543948620,65,71
1543950873,95,100
1543952439,88,82
1543954476,108,116
1543955315,41,10
1543956931,74,146
1543958431,40,45
1543959638,35,66
1543961132,52,92
1543962505,32,10
1543965049,89,106
1543966119,44,7
1543967788,51,82
1543968880,48,55
1543969705,39,7
1543970557,18,145
1543972231,73,333
1543973443,68,102
1543975003,64,24
1543976078,34,70
1543977406,85,95
1543979447,89,117
1543979687,20,4
1543980515,52,8
1543982126,68,129
1543983246,54,60
1543984946,65,83
1543985788,34,48
1543986951,32,50
1543988441,57,58
1543990471,143,129
1543991726,70,87
1543992163,26,3
1543994069,69,82
1543995326,44,76
1543996526,50,24
1543997743,88,52
1543998527,51,10
1543999361,44,80
1544000950,57,73
1544002243,81,89
1544003815,104,32
1544004953,76,65
1544006563,80,85
1544007402,56,23
1544008472,47,55
1544010152,102,74
1544011534,89,103
1544012726,55,11
1544013978,53,149
1544015410,108,82
1544016513,69,12
1544017819,67,119
1544019274,94,112
1544020392,71,69
1544021787,79,38
1544022889,71,70
1544023721,44,7
1544024937,100,125
1544026233,70,62
1544027458,94,80
1544028145,44,5
1544029837,127,118
1544031746,103,127
1544032582,58,33
1544033662,66,68
1544034519,41,5
1544036134,97,121
1544037266,96,61
1544040171,195,161
1544041538,86,11
1544042546,55,112
1544044465,101,78
1544045322,43,8
1544047532,109,133
1544048660,57,13
1544049985,38,83
1544051682,68,58
1544052505,37,11
1544054733,102,146
1544056525,97,71
1544057732,67,35
1544057785,1,1
1544058944,136,59
1544059716,43,8
1544061393,75,97
1544062536,56,52
1544064147,98,79
1544064995,49,8
1544066093,43,99
1544067645,61,81
1544069675,87,97
1544070524,43,4
1544071347,26,67
1544072187,61,19
1544073267,51,30
1544074843,58,85
1544076337,62,65
1544076876,21,5
1544078134,40,85
1544080233,112,85
1544081461,73,58
1544082597,88,27
1544083845,98,69
1544085339,120,87
1544086572,109,17
1544087679,64,42
1544089355,50,55
1544090750,82,67
1544092954,118,50
1544094638,67,87
1544095715,50,5
1544096560,30,62
1544097397,34,31
1544098474,65,49
1544100146,72,75
1544102067,93,70
1544102916,29,3
1544103747,34,119
1544104588,33,22
1544105745,45,60
1544107638,117,104
1544108186,35,13
1544110104,90,107
1544111290,62,56
1544112648,139,77
1544112899,12,0
1544114542,70,75
1544115386,32,51
1544116540,70,94
1544118150,72,95
1544118994,38,31
1544120064,40,49
1544121306,68,103
1544121746,19,4
1544122594,43,4
1544123733,57,75
1544125536,107,128
1544126732,51,86
1544128112,53,10
1544129785,114,57
1544130930,64,47
1544132544,65,46
1544133930,60,54
1544136145,84,74
1544137828,62,57
1544138917,40,10
1544140083,16,97
1544141674,43,60
1544143350,74,77
1544145043,72,90
1544146113,31,13
1544147795,79,87
1544148937,52,71
1544150120,62,116
1544150545,18,7
1544152092,54,120
1544154148,99,88
1544155001,64,30
1544156131,57,48
1544156924,22,8
1544158529,60,80
1544159666,45,79
1544161148,104,110
1544162197,30,44
1544164107,67,48
1544164959,37,68
1544167410,95,93
1544168803,68,139
1544169397,37,4
1544170478,67,62
1544172149,84,128
1544173724,57,123
1544175062,49,108
1544177152,86,113
1544178520,91,8
1544179977,97,113
1544181266,43,99
